,eng_reference,trimmed_segment_path
0,"Everyone, I have a date with a man today. He was a half-breed man with long curly hair and big eyes. He is totally my type. Today I will do whatever he wants. He told me to pick him up at home, so I came. I can pick him up because he's handsome. Let's go pick him up.",combined_clean_all/combined_output_1.wav
1,"Why do I have to pick up a guy on a date? Peekaboo! Hi, Ganesh! And he is my date today. Do you remember my name? Ganesh, have you ever dated a woman? What is the date? What is the date? I don't know if it's a good or a bad thing in his life.",combined_clean_all/combined_output_2.wav
2,"He has to tell people that I am his first date. What are you doing with my child? Oh! What are you doing with my child? Dating is when we go out with beautiful girls. Oh! Are you stressed? I have one request,",combined_clean_all/combined_output_3.wav
3,"Don't lose my child because I can't do it again like this. Today I will take good care of him. He will get whatever he wants. Are you sure? Ganesh, buy me three Gucci shirts! We're like a kidnapper gang. Let's go on a date! He s mine now!",combined_clean_all/combined_output_4.wav
4,"We are on our way out for a date. But this guy is a little naughty. He asked for milk. Ganesh, where would you like to go on a date today? I'd like to go to Yoyoland. What do you want to do there? I want to go on a roller coaster. Is the roller coaster scary?",combined_clean_all/combined_output_5.wav
5,"Can I hold your hand if I'm scared? Do you promise? I'm gonna do it like this. If we go to an amusement park, we need money. Can you help me sell stuff first? Oh! Otherwise we don't have money to date. So do you agree? Okay?",combined_clean_all/combined_output_6.wav
6,"Oh, he is so sweet. He knows my weak spot. Here we are at Boots Boots. Now Boots has a mix and match campaign, buy 1 get 1 free. Buy 1 get 1 free. There are more than 900 products participating in the campaign. This is your mission today.",combined_clean_all/combined_output_7.wav
7,"I'm gonna show you the pictures. Then you have to find 6 things. And you have to pick it up right. Are you okay? Are you ready? Look at the picture! Find them! Ganesh, keep fighting! Here they are. Oh, you can do it!",combined_clean_all/combined_output_8.wav
8,"640 The first pair, buy Blackmore Fish Oil Mini 640 baht, get free Eucerin Hyaluron Mist Spray. 1 1 Buy 1 get 1 free. The mission is not complete yet. It was just the first pair. This one, Ganesh. Are you giving up? Oh, he is going to pick it up. Is this one right? Oh, how do you know?",combined_clean_all/combined_output_9.wav
9,"Yes, this one is right. And this one? Let me see if it is or not. Wow! Wow! Yeah! This is the second pair. If you buy No.7 Triple Action Serum, you will get Cetaphil Ultra Gentle Body Wash. This one is 1229 baht, free this big bottle.",combined_clean_all/combined_output_10.wav
10,"Ganesh, come on here! I'm selling products. Look at the picture! Look at the picture first! You have to find this one and this one. I know it. Really? Oh! Where is the other one? Are you sure about it? If you pick the wrong one, you won't go on a date. The answer is.",combined_clean_all/combined_output_11.wav
11,"It's right! This pair is 220 baht. You won! The promotion is very worthwhile. Because this is a mix and match promotion, buy 1 get 1 free. So you're not forced to get a piece of the giveaway. Everything can be mixed. There are more than 900 participating products.",combined_clean_all/combined_output_12.wav
12,"You can shop at Boots from now until 30th April. Or you can shop online via Boots application. Ganesh, where are you? She's gonna kill me if I lose her child. Ganesh! Is it worth it? Yes, it is. Thank you so much. You were a good picker. Now I have money.",combined_clean_all/combined_output_13.wav
13,"Yeah! Let's go to Yoyoland! Is it over there? I'm like kidnapping a child. Follow me! Measure your height first, Ganesh. Let's go! Yeah! Are you ready? Hold my hand first!",combined_clean_all/combined_output_14.wav
14,"Oh, Ganesh. It is about to go down. I vowed to myself that I would never have children. I'm tired. Is this date fun? Yes, it is. Who would you like to date? I want to say that Ganesh was a very good seller. Any sponsor can hire him. Talk about dating Ganesh for a day. I was stressed at first.",combined_clean_all/combined_output_15.wav
15,"He didn't want to play with me at first. He turned his back on me. He pulled his hand away when I shook his hand. But after being together for a while, he got used to me. He started begging me. Did you see his face? I fell in love with him. Now I'm exhausted. Please encourage me, Ganesh!",combined_clean_all/combined_output_16.wav
16,"Bye! Would you like to date me again? Yes, I would like to. Woman's voice Come on, ganesh! We have to go home now. Do you want me to go on a date with Ganesh again? Please press Like, Share and leave the comments. I'm going to ask Daddy Danny and Mommy Milky if I will date Ganesh again. Swimming Suit contest. I've won before you guys for over 10 years.",combined_clean_all/combined_output_17.wav
17,"If you don't do your best, you'll be eliminated. Nut Nisa, people still remember her. What do you think? I think she was beautiful. She was on one of the top lists. But she was eliminated. I don't understand either. Today is a swimming suit contest. Which I will be participating.",combined_clean_all/combined_output_18.wav
18,"Miss Tiffany as the main sponsor of Miss Tiffany beauty pageant. Ta-da! There you go. Apart from being a sponsor, I will be also a judge for today. To choose the winner of Best Swimming Suit. Honestly, it's hard to judge. twice a day, both in the morning and bedtime. That's why this year's contestants are all perfect.",combined_clean_all/combined_output_19.wav
19,"Perfect and smart. But we need to accept that there will be a winner. Let's ask the judges criteria. I would like to know. What are their criteria for the swimming suit round? Last time, there was behind the scene, they said you were fiat. No, I can t be nice. We need standards.",combined_clean_all/combined_output_20.wav
20,"What's the difference between choosing the top 30 finalists? Today is about Stage Present. I agree. You don't need to have the perfect body. But you need to make everyone keeps an eye on you. You need to make everyone surprised, so you will be chosen. Real size beauty Real size beauty. Yeah, it is. If they were walking, then the tuck was loosened. Would this make everyone keep an eye on them? Sure thing.",combined_clean_all/combined_output_21.wav
