,eng_reference,trimmed_segment_path
0,"Hello everyone. I'm Anucha Kornsawad. You can call me Kean, I'm 22 years old. Please tell me about yourself, what do you do for living? I'm a third year student at university. What did you study about? About accouting. Accounting boy. Do you study and work?",combined_wav_3/combined_output_1.wav
1,"I was working and studying since I was vocational 1, and I also paid for my tuition fees by mysalf. But I worked since I was 14 years old. What did yoi do at that time? pork butcher's  pork butcher's   Pardon? how old are you again? When I was 14 years old. Why did you work? you still young. That because there are many people in my family. I have 7 sibling. All my brothers and my sisters get a long well with their job.",combined_wav_3/combined_output_2.wav
2,"So, my father worried about me. At first I don't like it because I want to be like ordinary kids. They just study, play and hang out with friends somthing like that. But I never have something like that. After comeback from shcool I must to work like this for 2 years. I never go anywhere",combined_wav_3/combined_output_3.wav
3,"You told us that you didn't like it at first. what's about now? Do you like it? I love it. For real? Why? Because I've been work for long time. So, I like it. I work 2 job the salary is around 20k   25k per month. It's not bad.",combined_wav_3/combined_output_4.wav
4,"It's not bad. How many hours did you work? For my first job also the same place as my father , my work schedule is 9 p.m.   midnight And my work schedule for seconds job is midnight to 5 a.m. I work two jobs. Do you work in everyday? Yes That's mean you study in the day time. Yes, I study in daytime. I go to school at 7 a.m. What time do you sleep?",combined_wav_3/combined_output_5.wav
5,"When I have fisnished my work and study. I take a nap for a whlie then I go back to work again. The total from 2 jobs is 25k. Do you have saving some money? Yes, I do have little saving money. For how much? It's 400,000 baht. He's remarkable . You have a lot of saving moneys since this age.",combined_wav_3/combined_output_6.wav
6,"How do you plan with your money? I want to have my own butcher shopwith my father. For start you own business. Yes. You have set your goal what you want to do in the future right. I don't want my father work anymore because of his age. so, I want him to take a rest at home and work with me. It's might better to be self   employed.",combined_wav_3/combined_output_7.wav
7,"You have a lot of saving money, can I ask you how did you manage your money? How do you think before spend money? My big sister helped me. The salary from my first job I give to my father for paid electric bill and water bill. The saraly from seconds is for paid education fund.",combined_wav_3/combined_output_8.wav
8,"And for my cost of living as well. Have you think about buying something for yourself like a bike? Actually, I want to have my own house. It's not my time now. Yes, you're right. In your age, I know somethimes you must hang out with your friends.",combined_wav_3/combined_output_9.wav
9,"Have you ever want something like them? Yes. But all I want is a big thing for my father, actually I don't want anything. I want to give something to my father. What a good boy. I hope you will have better future. So, why you want to come to the program? I want to show my skill that my father taught me since I was young. Really?",combined_wav_3/combined_output_10.wav
10,"I want to see your skill that your father taught it to you! First of all what is your dream gift about? I want gold necklet for my father, for celebrate his belated birth day . Such a good son. He did it ! Yes, give the necklet to him. He deserve it.",combined_wav_3/combined_output_11.wav
11,"I want to see the skill of future business owner really. Are you ready? Yes, I'm ready. Please go ahead. Let's do it. Hello. Thank you for coming to the show. Did you know?you have an determined eyes.",combined_wav_3/combined_output_12.wav
12,It's so shine when you talk about your dream gift. It's good to heard that your find out by yourself that what your father did it for you. We have some mission to challenge you. Yes. Are you ready? The crews please. We used to have a butcher on the show. Yes. Have you ever watched it before?,combined_wav_3/combined_output_13.wav
13,"Yes, I did. Everybody. This paper is show the parts of pig There are 10 pieces. We used to challenged this mission to ta before. We dare him to do the mission within 100 seconds. But the mission for Kean is. . .",combined_wav_3/combined_output_14.wav
14,"So, we have something special for him. The crews please. What is it? For this mission we dare him to cut 12 parts of it. We added pork spine bones and pork leg bones. What is pork spine bones? Pork spine bone is one of the part from ribs. The ribs?",combined_wav_3/combined_output_15.wav
15,"So, from the Ta mission . . . Could you tell me where is it? Right there? For this time we need him to separate pork spine bones. It must be the 11th. And what is pork leg bone? It's front leg bone. We need two more bones for this mission. Moreover, the time is 100 seconds.",combined_wav_3/combined_output_16.wav
