epoch,step,train_loss_epoch,train_loss_step
0,8,15.425997734069824,
1,17,15.359539985656738,
2,26,15.568498611450195,
3,35,15.339195251464844,
4,44,15.262678146362305,
5,49,,15.226654052734375
5,53,15.192277908325195,
6,62,15.441174507141113,
7,71,15.3225736618042,
8,80,15.372496604919434,
9,89,15.419245719909668,
10,98,15.588753700256348,
11,99,,14.539726257324219
11,107,15.45024299621582,
12,116,15.175332069396973,
13,125,15.387901306152344,
14,134,15.450944900512695,
15,143,15.457072257995605,
16,149,,15.596439361572266
16,152,15.52033805847168,
17,161,15.344409942626953,
18,170,15.35055160522461,
19,179,15.117429733276367,
20,188,15.538983345031738,
21,197,15.570089340209961,
22,199,,15.217921257019043
22,206,15.415644645690918,
23,215,15.36369514465332,
24,224,15.518218040466309,
25,233,15.194087028503418,
26,242,15.193113327026367,
27,249,,13.495351791381836
27,251,15.379088401794434,
28,260,15.373068809509277,
29,269,15.463788032531738,
30,278,15.510958671569824,
31,287,15.39327621459961,
32,296,15.615793228149414,
33,299,,14.769923210144043
33,305,15.470210075378418,
34,314,15.369070053100586,
35,323,15.253079414367676,
36,332,15.423587799072266,
37,341,15.4398193359375,
38,349,,15.376237869262695
38,350,15.228290557861328,
39,359,15.367775917053223,
40,368,15.52214241027832,
41,377,15.25698184967041,
42,386,15.32731819152832,
43,395,15.412124633789062,
44,399,,16.01912498474121
44,404,15.478014945983887,
45,413,15.414505958557129,
46,422,15.251347541809082,
47,431,15.33873176574707,
48,440,15.315204620361328,
49,449,,14.209799766540527
49,449,15.64232063293457,
50,458,15.329071998596191,
51,467,15.255722045898438,
52,476,15.146886825561523,
53,485,15.618037223815918,
54,494,15.428261756896973,
55,499,,15.88453197479248
55,503,15.15540599822998,
56,512,15.45699691772461,
57,521,15.402624130249023,
58,530,15.308392524719238,
59,539,15.265109062194824,
60,548,15.28354549407959,
61,549,,13.893210411071777
61,557,15.387699127197266,
62,566,15.522184371948242,
63,575,15.341156959533691,
64,584,15.427001953125,
65,593,15.378132820129395,
66,599,,14.733681678771973
66,602,15.236343383789062,
67,611,15.260271072387695,
68,620,15.437833786010742,
69,629,15.497546195983887,
70,638,15.410578727722168,
71,647,15.415895462036133,
72,649,,15.408553123474121
72,656,15.384928703308105,
73,665,15.460680961608887,
74,674,15.359869956970215,
75,683,15.461434364318848,
76,692,15.5719633102417,
77,699,,17.875764846801758
77,701,15.244039535522461,
78,710,15.40053653717041,
79,719,15.526310920715332,
80,728,15.436358451843262,
81,737,15.396719932556152,
82,746,15.289711952209473,
83,749,,14.155405044555664
83,755,15.455204963684082,
84,764,15.381237983703613,
85,773,15.443304061889648,
86,782,15.422280311584473,
87,791,15.1931734085083,
88,799,,18.281566619873047
88,800,15.569661140441895,
89,809,15.339961051940918,
90,818,15.421789169311523,
91,827,15.46406364440918,
92,836,15.319727897644043,
93,845,15.467900276184082,
94,849,,17.699787139892578
94,854,15.43777847290039,
95,863,15.420373916625977,
96,872,15.266257286071777,
97,881,15.299697875976562,
98,890,15.360246658325195,
99,899,,14.859604835510254
99,899,15.229792594909668,
100,908,15.275861740112305,
101,917,15.19053840637207,
102,926,15.45273494720459,
103,935,15.16905403137207,
104,944,15.381674766540527,
105,949,,15.384003639221191
105,953,15.32387638092041,
106,962,15.499167442321777,
107,971,15.594064712524414,
108,980,15.297393798828125,
109,989,15.224343299865723,
110,998,15.51698112487793,
111,999,,15.887962341308594
111,1007,14.965079307556152,
112,1016,15.57606029510498,
113,1025,15.533390998840332,
114,1034,15.295005798339844,
115,1043,15.566208839416504,
116,1049,,17.400733947753906
116,1052,15.31874942779541,
117,1061,15.59375,
118,1070,15.338973999023438,
119,1079,15.207468032836914,
120,1088,15.340383529663086,
121,1097,15.328547477722168,
122,1099,,14.138937950134277
122,1106,15.417427062988281,
123,1115,15.473122596740723,
124,1124,15.357365608215332,
125,1133,15.328207969665527,
126,1142,15.328850746154785,
127,1149,,13.788878440856934
127,1151,15.427494049072266,
128,1160,15.517743110656738,
129,1169,15.33425235748291,
130,1178,15.368511199951172,
